"id","name","wpca:d1","wpca:d2","result","r","opacity","color"
"237","Sobotka, Bohuslav (ČSSD)",-1.44277712216328,-0.0308979726812953,0.05,0.05,0.7,"orange"
"252","Zaorálek, Lubomír (ČSSD)",-2.10026898556283,-0.451118199581343,0.05,0.05,0.7,"orange"
"303","Filip, Vojtěch (KSČM)",2.23427894045408,3.30883692712583,0.05,0.05,0.7,"red"
"305","Grebeníček, Miroslav (KSČM)",3.2925146145761,2.74419560912606,0.05,0.05,0.7,"red"
"309","Kováčik, Pavel (KSČM)",2.78923255315707,2.70297619936259,0.05,0.05,0.7,"red"
"312","Bebarová Rujbrová, Zuzka (KSČM)",1.01117790916637,3.48322294362203,0.05,0.05,0.7,"red"
"346","Bendl, Petr (ODS)",-6.32842803034978,2.8019331610611,0.05,0.05,0.7,"blue"
"354","Černý, Karel (ČSSD)",3.80505765779467,-4.55694915445783,0.05,0.05,0.7,"orange"
"377","Kalousek, Miroslav (TOP 09)",-5.7548101786499,3.50307544793572,0.05,0.05,0.7,"darkviolet"
"392","Lobkowicz, Jaroslav (TOP 09)",-5.47823417959125,0.105118044597797,0.05,0.05,0.7,"darkviolet"
"4","Benda, Marek (ODS)",-5.18667656547137,2.36940037266143,0.05,0.05,0.7,"blue"
"401","Němcová, Miroslava (ODS)",-5.32496767194393,3.19809376817502,0.05,0.05,0.7,"blue"
"422","Urban, Milan (ČSSD)",-0.511151517846515,2.8512273031039,0.05,0.05,0.7,"orange"
"443","Stropnický, Martin (ANO)",-0.646799852212452,0.463902015279374,0.05,0.05,0.7,"cyan"
"467","Adámek, František (ČSSD)",3.23258490103346,-1.83935751527163,0.05,0.05,0.7,"orange"
"4778","Grospič, Stanislav (KSČM)",5.40681973817811,1.66601812285111,0.05,0.05,0.7,"red"
"5261","Dolejš, Jiří (KSČM)",5.46583979459093,-0.0129356881151475,0.05,0.05,0.7,"red"
"5268","Vostrá, Miloslava (KSČM)",5.12598196497412,2.28010987367584,0.05,0.05,0.7,"red"
"5269","Mládek, Jan (ČSSD)",0.407535357917669,-1.47438978082249,0.05,0.05,0.7,"orange"
"5272","Votava, Václav (ČSSD)",3.5425775768977,-3.94955126809393,0.05,0.05,0.7,"orange"
"5273","Pospíšil, Jiří (ODS)",-0.327627459570321,-0.33055977731499,0.05,0.05,0.7,"blue"
"5279","Krákora, Jaroslav (ČSSD)",3.58038556157005,-0.745822811126312,0.05,0.05,0.7,"orange"
"5282","Šenfeld, Josef (KSČM)",4.49423914763988,2.69988485352459,0.05,0.05,0.7,"red"
"5290","Marková, Soňa (KSČM)",3.90759864640272,1.81148649406324,0.05,0.05,0.7,"red"
"5297","Hašek, Michal (ČSSD)",-0.882987954347826,1.26070464500899,0.05,0.05,0.7,"orange"
"5307","Černý, Alexander (KSČM)",5.41271348091479,2.07709796206834,0.05,0.05,0.7,"red"
"5310","Seďa, Antonín (ČSSD)",-1.61705559136476,-1.44628531109799,0.05,0.05,0.7,"orange"
"5313","Koníček, Vladimír (KSČM)",2.91369160351649,3.3573125902379,0.05,0.05,0.7,"red"
"5314","Hovorka, Ludvík (KDU-ČSL)",2.59560545104272,-3.78019770968226,0.05,0.05,0.7,"gold"
"5321","Konečná, Kateřina (KSČM)",1.91548527729871,-1.67950746178339,0.05,0.05,0.7,"red"
"5322","Opálka, Miroslav (KSČM)",4.44093572882729,2.07175829858708,0.05,0.05,0.7,"red"
"5342","Böhnisch, Robin (ČSSD)",3.37375731401535,-1.67769935829635,0.05,0.05,0.7,"orange"
"5402","Jandák, Vítězslav (ČSSD)",2.31743516212516,0.97234590672435,0.05,0.05,0.7,"orange"
"5433","Koskuba, Jiří (ČSSD)",0.884371476103214,-0.722313339117364,0.05,0.05,0.7,"orange"
"5447","Bohdalová, Vlasta (ČSSD)",2.42809675211971,-1.43481700566168,0.05,0.05,0.7,"orange"
"5456","Dolejš, Richard (ČSSD)",2.65331290065254,-3.22873398696473,0.05,0.05,0.7,"orange"
"5459","Fiala, Radim (Úsvit)",-4.53837771009908,3.370314441214,0.05,0.05,0.7,"yellowgreen"
"5461","Halíková, Milada (KSČM)",1.92631061329018,1.33637232250277,0.05,0.05,0.7,"red"
"5462","Hamáček, Jan (ČSSD)",0.19491481794334,0.333051622779694,0.05,0.05,0.7,"orange"
"5476","Laudát, František (TOP 09)",-5.33017050019536,1.56638365671958,0.05,0.05,0.7,"darkviolet"
"5487","Petrů, Jiří (ČSSD)",4.66078608378476,-2.36610925408787,0.05,0.05,0.7,"orange"
"5490","Ploc, Pavel (ČSSD)",2.19135058013265,-1.440940978487,0.05,0.05,0.7,"orange"
"5502","Snopek, Václav (KSČM)",1.91621807614866,3.70472712454027,0.05,0.05,0.7,"red"
"5506","Šidlo, Karel (KSČM)",3.79068642521463,2.84510813419599,0.05,0.05,0.7,"red"
"5507","Šincl, Ladislav (ČSSD)",1.2998661666878,-1.34561664312597,0.05,0.05,0.7,"orange"
"5513","Tejc, Jeroným (ČSSD)",4.39486941031461,-2.34318339279018,0.05,0.05,0.7,"orange"
"5520","Vilímec, Vladislav (ODS)",-4.21362272735397,1.33243720506647,0.05,0.05,0.7,"blue"
"5558","Schwarzenberg, Karel (TOP 09)",-4.43157676928849,2.24316377356012,0.05,0.05,0.7,"darkviolet"
"5700","Adamec, Ivan (ODS)",-4.5834975816261,2.51846122850176,0.05,0.05,0.7,"blue"
"5718","Zlatuška, Jiří (ANO)",-0.188806055347857,-2.77507239589899,0.05,0.05,0.7,"cyan"
"5768","Adam, Vojtěch (KSČM)",-3.79935900638754,2.93386420148509,0.05,0.05,0.7,"red"
