"id","name","wpca:d1","wpca:d2","result","r","opacity","color"
"100","Marvanová, Hana (Koalice)",0.164197480808481,1.80531597548344,0.05,0.05,0.7,"gold"
"110","Nájemník, Václav (ODS)",-18.5167337227183,-0.49874561770615,0.05,0.05,0.7,"blue"
"111","Nečas, Petr (ODS)",-19.0893549819255,-2.56810378354958,0.05,0.05,0.7,"blue"
"122","Orgoníková, Hana (ČSSD)",16.6425970056244,7.51411980835744,0.05,0.05,0.7,"orange"
"124","Palas, Jaroslav (ČSSD)",5.71231030219956,4.54646912524744,0.05,0.05,0.7,"orange"
"136","Recman, Svatomír (KSČM)",-1.4250944905917,-20.3330260041292,0.05,0.05,0.7,"red"
"143","Severa, Pavel (Koalice)",6.33659256088098,9.27129436275239,0.05,0.05,0.7,"gold"
"16","Buzková, Petra (ČSSD)",5.1564085560095,3.50848642457701,0.05,0.05,0.7,"orange"
"164","Tlustý, Vlastimil (ODS)",-20.4606045698476,-2.50365051257146,0.05,0.05,0.7,"blue"
"19","Čelišová, Květoslava (KSČM)",-2.52076159801622,-14.0195925338229,0.05,0.05,0.7,"red"
"1919","Kádner, Tomáš (ODS)",-2.64154243388205,1.86645132443711,0.05,0.05,0.7,"blue"
"193","Výborný, Miloslav (Koalice)",1.84331144350585,1.44743323611379,0.05,0.05,0.7,"gold"
"196","Zeman, Eduard (ČSSD)",15.6583711910132,6.49296069481279,0.05,0.05,0.7,"orange"
"206","Brynychová, Ludmila (KSČM)",-2.80319940731901,-15.5738222293425,0.05,0.05,0.7,"red"
"209","Dostál, Pavel (ČSSD)",5.71973726032339,5.77294089287245,0.05,0.05,0.7,"orange"
"210","Ekert, Milan (ČSSD)",15.5645877181279,6.12584131940598,0.05,0.05,0.7,"orange"
"211","Emmerová, Milada (ČSSD)",9.24236500012986,5.935962948891,0.05,0.05,0.7,"orange"
"215","Hojdar, Josef (ČSSD)",11.571590168835,7.47674413745898,0.05,0.05,0.7,"orange"
"218","Jičínský, Zdeněk (ČSSD)",12.1261205515783,5.51509176357496,0.05,0.05,0.7,"orange"
