id_poslanec	voter_id	group_id	term
1215	5384	153	6
1216	5954	949	6
1217	5552	153	6
1218	5955	948	6
1219	5487	153	6
1220	273	155	6
1221	5490	153	6
1222	5956	948	6
1223	5273	155	6
1224	5957	948	6
1225	5495	155	6
1226	5958	948	6
1227	5406	153	6
1228	5959	948	6
1229	5993	949	6
1230	5296	154	6
1231	5960	153	6
1232	5961	155	6
1233	5310	153	6
1234	5962	154	6
1235	5963	948	6
1236	5558	948	6
1237	5501	155	6
1238	5964	948	6
1239	5965	153	6
1240	5966	949	6
1241	5967	948	6
1242	5311	153	6
1243	237	153	6
1244	5968	155	6
1245	5969	155	6
1246	5970	949	6
1247	415	155	6
1248	5505	155	6
1249	5971	155	6
1250	5972	948	6
1251	5301	155	6
1252	5282	154	6
1253	5506	154	6
1254	5507	153	6
1255	5973	949	6
1256	239	153	6
1257	5974	153	6
1258	5437	155	6
1259	5512	155	6
1260	5975	949	6
1261	5976	949	6
1262	5859	155	6
1263	5977	153	6
1264	5513	153	6
1265	5376	155	6
1266	5516	155	6
1267	422	153	6
1268	5978	949	6
1269	5979	153	6
1270	5292	153	6
1271	5980	153	6
1272	5981	153	6
1273	5866	153	6
1274	280	155	6
1275	5520	155	6
1276	5982	155	6
1277	5268	154	6
1278	5272	153	6
1279	5983	949	6
1280	5984	155	6
1281	5985	155	6
1282	5986	948	6
1283	252	153	6
1284	5415	153	6
1285	5987	153	6
1286	5989	153	6
1287	235	153	6
1288	5999	153	6
1289	6003	949	6
1290	6008	155	6
1291	1016	153	6
1292	5255	153	6
1293	410	153	6
1294	6095	948	6
1295	6096	153	6
1296	5508	153	6
1297	5294	153	6
1298	6098	155	6
1299	5446	155	6
1300	6097	155	6
1301	6113	153	6
1302	5469	153	6
1303	6120	155	6
1304	5375	155	6
1305	6124	153	6
1306	6146	1105	7
1307	5768	154	7
1308	5700	155	7
1309	467	153	7
1310	6147	948	7
1311	6148	1105	7
1312	5891	153	7
1313	6149	154	7
1314	6150	1104	7
1315	6151	1104	7
1316	6152	1104	7
1317	6177	1104	7
1318	6178	151	7
1319	312	154	7
1320	6002	153	7
1321	6138	151	7
1322	4	155	7
1323	346	155	7
1324	6179	151	7
1325	6136	153	7
1326	6180	1104	7
1327	6143	1104	7
1328	5897	948	7
1329	6181	155	7
1330	6182	153	7
1331	6079	155	7
1332	5342	153	7
1333	6183	154	7
1334	6184	1104	7
1335	6185	1104	7
1336	6186	1105	7
1337	5903	155	7
1338	5307	154	7
1339	354	153	7
1340	6187	1104	7
1341	6188	154	7
1342	6189	1104	7
1343	5261	154	7
1344	5456	153	7
1345	6190	1104	7
1346	5909	948	7
1347	6074	155	7
1348	5459	1105	7
1349	6191	1105	7
1350	6192	1104	7
1351	303	154	7
1352	5990	155	7
1353	5911	153	7
1354	6193	151	7
1355	5914	948	7
1356	305	154	7
1357	4778	154	7
1358	6139	1104	7
1359	5461	154	7
1360	5462	153	7
1361	5297	153	7
1362	6194	153	7
1363	6141	1105	7
1364	5917	948	7
1365	6142	151	7
1366	6195	1105	7
1367	6196	1104	7
1368	6197	155	7
1369	6198	1105	7
1370	5918	153	7
1371	5919	948	7
1372	5314	151	7
1373	5920	154	7
1374	5921	153	7
1375	5922	948	7
1376	6199	1104	7
1377	6200	153	7
1378	5926	153	7
1379	6113	153	7
1380	5402	153	7
1381	6201	1104	7
1382	6202	1104	7
1383	6203	1104	7
1384	6204	151	7
1385	6205	151	7
1386	5933	1105	7
1387	6206	153	7
1388	377	948	7
1389	6207	151	7
1390	6208	155	7
1391	6209	1104	7
1392	5934	154	7
1393	6210	151	7
1394	68	153	7
1395	6211	1104	7
1396	6140	1104	7
1397	5321	154	7
1398	5313	154	7
1399	5939	948	7
1400	6212	153	7
1401	5433	153	7
1402	5940	948	7
1403	6213	948	7
1404	309	154	7
1405	6214	948	7
1406	5279	153	7
1407	6215	1104	7
1408	6216	948	7
1409	6217	151	7
1410	5943	948	7
1411	6218	1105	7
1412	5476	948	7
1413	392	948	7
1414	6219	1104	7
1415	6220	154	7
1416	5290	154	7
1417	5938	154	7
1418	6221	1104	7
1419	6222	151	7
1420	5269	153	7
1421	5948	154	7
1422	401	155	7
1423	6223	154	7
1424	6176	948	7
1425	5991	153	7
1426	6175	155	7
1427	6174	1104	7
1428	6173	153	7
1429	6105	1105	7
1430	6172	1104	7
1431	6224	154	7
1432	5322	154	7
1433	6225	1104	7
1434	6227	948	7
1435	5955	948	7
1436	6228	154	7
1437	6229	153	7
1438	5487	153	7
1439	6230	1104	7
1440	6231	1104	7
1441	6232	153	7
1442	5490	153	7
1443	67	1104	7
1444	6134	151	7
1445	6233	154	7
1446	5956	948	7
1447	5273	155	7
1448	6234	1105	7
1449	6235	1104	7
1450	5957	948	7
1451	6158	1104	7
1452	5960	153	7
1453	5310	153	7
1454	6226	1104	7
1455	6153	1104	7
1456	5962	154	7
1457	6236	1104	7
1458	5558	948	7
1459	5964	948	7
1460	5965	153	7
1461	5502	154	7
1462	237	153	7
1463	6237	1104	7
1464	5969	155	7
1465	5999	153	7
1466	443	1104	7
1467	6238	153	7
1468	6007	155	7
1469	6145	1105	7
1470	5282	154	7
1471	5506	154	7
1472	5507	153	7
1473	6144	1104	7
1474	5975	1105	7
1475	5513	153	7
1476	6239	153	7
1477	6240	948	7
1478	66	151	7
1479	422	153	7
1480	5979	153	7
1481	6137	948	7
1482	65	154	7
1483	64	1104	7
1484	5980	153	7
1485	5866	153	7
1486	6167	1104	7
1487	6166	1104	7
1488	6165	1104	7
1489	6164	154	7
1490	5268	154	7
1491	5272	153	7
1492	6163	1104	7
1493	6162	1104	7
1494	6161	1104	7
1495	6160	153	7
1496	6159	154	7
1497	5844	155	7
1498	252	153	7
1499	6157	153	7
1500	6156	1104	7
1501	5987	153	7
1502	5989	153	7
1503	6155	153	7
1504	5718	1104	7
1505	6154	948	7
1506	6245	1104	7
1507	6246	1104	7
1508	5447	153	7
1509	6268	153	7
1510	6279	154	7
1511	6280	948	7
1512	5520	155	7
1513	6284	153	7
1514	6288	1104	7
1515	6292	151	7
