vote_event_id	is_eu
8783	0
8830	0
9058	0
9925	0
9926	0
10327	0
10450	0
10627	0
10912	0
10913	0
11414	0
11416	0
11417	0
11610	0
11613	0
11614	0
11956	0
12032	0
12432	0
12644	0
12677	0
12678	0
12679	0
12680	0
12681	0
12682	0
12683	0
12684	0
12691	0
12814	0
12817	0
12821	0
12848	0
12865	0
12956	0
13080	0
13184	0
13187	0
13281	0
13295	0
13312	0
13374	0
13412	0
13454	0
13627	0
13705	0
13711	0
13716	0
13717	0
13873	0
13875	0
13954	0
14104	0
14291	0
14388	0
14425	0
14434	0
14573	0
14595	0
14597	0
14598	0
14726	0
14794	0
14796	0
14806	0
14807	0
14812	0
14816	0
14823	0
14824	0
14846	0
14853	0
14912	0
14915	0
14916	0
14918	0
14922	0
14938	0
14966	0
14970	0
14971	0
14972	0
14973	0
14974	0
14975	0
14976	0
14977	0
15016	0
15046	0
15114	0
15192	0
15200	0
15204	0
15210	0
15226	0
15254	0
15368	0
15385	0
15493	0
15499	0
15500	0
15525	0
15546	0
15566	0
15649	0
15711	0
15738	0
15767	0
15890	0
15922	0
15924	0
15926	0
15929	0
16003	0
16009	0
16018	0
16024	0
16114	0
16165	0
16188	0
16237	0
16284	0
16349	0
16350	0
16351	0
16353	0
16355	0
16356	0
16363	0
16375	0
16483	0
16505	0
16530	0
16552	0
16590	0
16650	0
16665	0
16792	0
16827	0
16862	0
16897	0
16899	0
16900	0
16901	0
16904	0
16987	0
17035	0
17079	0
17108	0
17174	0
17216	0
17231	0
17530	0
17680	0
17733	0
17822	0
17854	0
17855	0
17856	0
17858	0
17860	0
17861	0
17862	0
17864	0
17874	0
17881	0
17975	0
17980	0
18002	0
18005	0
18012	0
18027	0
18029	0
18067	0
18082	0
18088	0
18135	0
18138	0
18171	0
18186	0
18199	0
18267	0
18426	0
18466	0
18468	0
18470	0
18471	0
18475	0
18485	0
18496	0
18501	0
18515	0
18523	0
18525	0
18534	0
18545	0
18553	0
18574	0
18578	0
18580	0
18598	0
18603	0
18618	0
18650	0
18660	0
18662	0
18664	0
18688	0
18695	0
18716	0
18720	0
18724	0
18748	0
18752	0
18763	0
18782	0
18785	0
18836	0
18856	0
18872	0
18874	0
18883	0
18905	0
18913	0
18932	0
18943	0
18992	0
19037	0
19038	0
19039	0
19040	0
19041	0
19042	0
19057	0
19058	0
19087	0
19120	0
19123	0
19125	0
19202	0
19225	0
19237	0
19242	0
19261	0
19271	0
19299	0
19303	0
19313	0
19342	0
19359	0
19361	0
19363	0
19374	0
19415	0
19489	0
19493	0
19502	0
19608	0
19632	0
19703	0
19705	0
19707	0
19708	0
19709	0
19710	0
19729	0
19751	0
19808	0
19809	0
19811	0
19814	0
19816	0
19817	0
19818	0
19820	0
19821	0
19822	0
19826	0
19829	0
19840	0
19846	0
19849	0
19851	0
19868	0
19886	0
19919	0
19927	0
19929	0
19932	0
19944	0
19977	0
19989	0
19997	0
20000	0
20059	0
20071	0
20075	0
20080	0
20116	0
20117	0
20118	0
20119	0
20125	0
20503	0
20509	0
20528	0
20532	0
23596	0
23597	0
23598	0
23600	0
23602	0
23604	0
23605	0
23607	0
23675	0
23686	0
23710	0
23929	0
23930	0
23944	0
23993	0
24036	0
24039	0
24057	0
24063	0
24081	0
24112	0
24113	0
24276	0
24313	0
24329	0
24332	0
24341	0
24352	0
24363	0
24411	0
24417	0
24423	0
24433	0
24448	0
24458	0
24476	0
24483	0
24502	0
24535	0
24580	0
24624	0
24643	0
24646	0
24670	0
24678	0
24679	0
24689	0
24707	0
24723	0
24738	0
24745	0
24754	0
24760	0
24830	0
24869	0
24870	0
24874	0
24878	0
24881	0
24924	0
25031	0
25040	0
25103	0
25104	0
25129	0
25135	0
25154	0
25157	0
25162	0
25200	0
25202	0
25203	0
25204	0
25208	0
25248	0
25366	0
25367	0
25379	0
25381	0
25393	0
25419	0
25432	0
25440	0
25519	0
25530	0
25533	0
25584	0
25645	0
25646	0
25655	0
25668	0
25703	0
25709	0
25720	0
25755	0
25756	0
25758	0
25760	0
25765	0
25794	0
25855	0
25870	0
25874	0
25918	0
25920	0
25922	0
25923	0
25925	0
25926	0
25943	0
25977	0
25983	0
26006	0
26007	0
26010	0
26015	0
26026	0
26028	0
26033	0
26035	0
26053	0
26068	0
26146	0
26148	0
26149	0
26168	0
26177	0
26192	0
26195	0
26274	0
26340	0
26344	0
26351	0
26378	0
26420	0
26424	0
26427	0
26477	0
26488	0
26495	0
26500	0
26503	0
26539	0
26549	0
26554	0
26574	0
26580	0
26583	0
26584	0
26613	0
26624	0
26625	0
26631	0
26650	0
26663	0
26666	0
26678	0
26680	0
26687	0
26715	0
26722	0
26746	0
26761	0
26767	0
26776	0
26831	0
26838	0
26844	0
26850	0
27039	0
27049	0
27116	0
27128	0
27134	0
27163	0
27164	0
27165	0
27166	0
27168	0
27169	0
27201	0
27204	0
27213	0
27221	0
27229	0
27233	0
27235	0
27250	0
27255	0
27263	0
27264	0
27266	0
27292	0
27352	0
27367	0
27375	0
27393	0
27398	0
27399	0
27405	0
27410	0
27420	0
27421	0
27422	0
27424	0
27429	0
27432	0
27462	0
27486	0
27663	0
27666	0
27668	0
27672	0
27674	0
27675	0
27676	0
27681	0
27730	0
27794	0
27796	0
27797	0
27801	0
27808	0
27816	0
27822	0
27857	0
27859	0
27864	0
27865	0
27866	0
27867	0
27881	0
27884	0
27886	0
27887	0
27893	0
27898	0
27899	0
27926	0
27930	0
27932	0
27939	0
27948	0
27957	0
27960	0
27981	0
27996	0
27997	0
28000	0
28018	0
28049	0
28058	0
28063	0
28077	0
28123	0
28132	0
28135	0
28153	0
28158	0
28160	0
28161	0
28169	0
28173	0
28175	0
28185	0
28190	0
28192	0
28202	0
28205	0
28207	0
28209	0
28211	0
28220	0
28247	0
28251	0
28268	0
28274	0
28275	0
28282	0
28305	0
28336	0
28343	0
28355	0
28406	0
28433	0
28442	0
28443	0
28444	0
28449	0
28450	0
28451	0
28459	0
28464	0
28472	0
28475	0
28479	0
28485	0
28486	0
28508	0
28524	0
28526	0
28607	0
28616	0
28620	0
28623	0
28629	0
28642	0
28644	0
28648	0
28650	0
28656	0
28659	0
28684	0
28689	0
28695	0
28697	0
28698	0
28704	0
28709	0
28758	0
28844	0
28858	0
28867	0
28882	0
28906	0
28914	0
28924	0
28928	0
28940	0
28947	0
29013	0
29061	0
29064	0
29071	0
29073	0
29091	0
29129	0
29237	0
29240	0
29243	0
29254	0
29256	0
29258	0
29260	0
29261	0
29262	0
29263	0
29264	0
29265	0
29276	0
29331	0
29335	0
29336	0
29339	0
29346	0
29354	0
29363	0
29369	0
29375	0
29397	0
29401	0
29404	0
29416	0
29423	0
29430	0
29439	0
29447	0
29478	0
29480	0
29486	0
29489	0
29503	0
29508	0
29516	0
29519	0
29522	0
29525	0
29527	0
29530	0
29574	0
29578	0
29585	0
29587	0
29592	0
29599	0
29605	0
29607	0
29608	0
29609	0
29610	0
29611	0
29621	0
29623	0
29624	0
29626	0
29629	0
29631	0
29643	0
29645	0
29646	0
29647	0
29649	0
29650	0
29652	0
29653	0
29655	0
29656	0
29657	0
29659	0
29662	0
29663	0
29855	0
29861	0
29863	0
29878	0
29888	0
29894	0
29919	0
29923	0
29926	0
29927	0
29952	0
30003	0
30008	0
30094	0
30109	0
30135	0
30145	0
30150	0
30157	0
30161	0
30178	0
30205	0
30233	0
30247	0
30254	0
30256	0
30309	0
30321	0
30353	0
30356	0
30361	0
30429	0
30694	0
30705	0
30714	0
30726	0
30729	0
30730	0
30736	0
30761	0
30781	0
30864	0
30866	0
30868	0
30876	0
30885	0
30961	0
31019	0
31057	0
31063	0
31071	0
31077	0
31079	0
31080	0
31183	0
31200	0
31223	0
31229	0
31232	0
31261	0
31262	0
31269	0
31285	0
31307	0
31312	0
31314	0
31322	0
31369	0
31371	0
31433	0
31481	0
31608	0
31625	0
31648	0
31650	0
31667	0
31668	0
31669	0
31677	0
31733	0
31781	0
31799	0
31801	0
31836	0
31890	0
31892	0
32030	0
32051	0
32052	0
32087	0
32091	0
32106	0
32107	0
32108	0
32118	0
32126	0
32228	0
32230	0
32234	0
32245	0
32336	0
32343	0
32344	0
32415	0
32420	0
32430	0
32433	0
32468	0
32481	0
32567	0
32570	0
32573	0
32574	0
